From:20210705,To:20210819,Rpt Date:20210819,Rpt Time:10:10:34 PT
Date,Bank ID,Account Number,Account Title,Account Owner,Tran Type,BAI Tran Code,Currency,Credit Amount,Debit Amount,Bank Ref #,Customer Ref #,Description
20210706,121140399,3302767027,FS Main,The Hack Foundation,BOOK TRANSFER CREDIT,206,USD,1.40,,9418368,0,HCB-VUVVL FROM ACCOUNT 3302340703
20210706,121140399,3302767027,FS Main,The Hack Foundation,BOOK TRANSFER CREDIT,206,USD,0.74,,9418370,0,HCB-YBVDR FROM ACCOUNT 3302340703
File Totals,,,,,635,,,281733.45,672148.63,,,
